StudyID,Drug_Name,Arm_ID,Endpoint_Name,Endpoint_Type,Strategy,EP_P_value,Missing_Imput,Covariate_Adjust,MCP,Subgroup_Ana,EP_Value,EP_Unit,EP_Point,ARR,NNT,EP_95CI,Med_OS,OS_YrX,Med_PFS,ORR,pCR,Med_DOR,RMST,PRO,QoL,endpoint_group_id,endpoint_group_title_raw,endpoint_group_desc_raw,endpoint_group_title_norm,endpoint_group_desc_norm,matched_arm_id,arm_group_title_raw,arm_group_desc_raw,arm_group_title_norm,arm_group_desc_norm,match_type,title_score,desc_score,debug_notes,top_candidates_json
NCT00585195,,NCT00585195_P1,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O1"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O1,Low Dose Escalation Cohort: Crizotinib 50 mg QD,Participants received Crizotinib 50 milligram (mg) capsule or tablet orally once daily (QD) for up to 34 cycles (each cycle 28 days).,low dose escalation cohort crizotinib 50 mg qd,participants received crizotinib 50 milligram mg capsule or tablet orally once daily qd for up to 34 cycles each cycle 28 days,NCT00585195_P1,Low Dose Escalation Cohort: Crizotinib 50 mg QD,Participants received Crizotinib 50 milligram (mg) capsule or tablet orally once daily (QD) for up to 34 cycles (each cycle 28 days).,low dose escalation cohort crizotinib 50 mg qd,participants received crizotinib 50 milligram mg capsule or tablet orally once daily qd for up to 34 cycles each cycle 28 days,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P1"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 50 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 50 milligram (mg) capsule or tablet orally once daily (QD) for up to 34 cycles (each cycle 28 days)."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P4"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 200 mg BID"", ""arm_group_desc_raw"": ""Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally twice daily (BID) for up to 34 cycles (each cycle 28 days)."", ""title_score"": 94, ""desc_score"": 81}, {""arm_id"": ""NCT00585195_P3"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 200 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally QD for up to 34 cycles (each cycle 28 days)."", ""title_score"": 97, ""desc_score"": 79}]"
NCT00585195,,NCT00585195_P2,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O2"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O2,Low Dose Escalation Cohort: Crizotinib 100 mg QD,"Participants received Crizotinib 100 mg capsule or tablet orally QD for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 100 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7.",low dose escalation cohort crizotinib 100 mg qd,participants received crizotinib 100 mg capsule or tablet orally qd for up to 34 cycles each cycle 28 days and 2 mg oral dose of midazolam along with crizotinib 100 mg on cycle 2 day 1 only participants who did not receive crizotinib on day 7 received single 2 mg oral dose of midazolam on day 7,NCT00585195_P2,Low Dose Escalation Cohort: Crizotinib 100 mg QD,"Participants received Crizotinib 100 mg capsule or tablet orally QD for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 100 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7.",low dose escalation cohort crizotinib 100 mg qd,participants received crizotinib 100 mg capsule or tablet orally qd for up to 34 cycles each cycle 28 days and 2 mg oral dose of midazolam along with crizotinib 100 mg on cycle 2 day 1 only participants who did not receive crizotinib on day 7 received single 2 mg oral dose of midazolam on day 7,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P2"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 100 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 100 mg capsule or tablet orally QD for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 100 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P6"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 300 mg BID"", ""arm_group_desc_raw"": ""Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet orally BID for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 300 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7."", ""title_score"": 95, ""desc_score"": 89}, {""arm_id"": ""NCT00585195_P1"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 50 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 50 milligram (mg) capsule or tablet orally once daily (QD) for up to 34 cycles (each cycle 28 days)."", ""title_score"": 97, ""desc_score"": 49}]"
NCT00585195,,NCT00585195_P3,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O3"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O3,Low Dose Escalation Cohort: Crizotinib 200 mg QD,Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally QD for up to 34 cycles (each cycle 28 days).,low dose escalation cohort crizotinib 200 mg qd,participants received crizotinib 200 mg 2 capsules tablet of 100 mg each capsule tablet orally qd for up to 34 cycles each cycle 28 days,NCT00585195_P3,Low Dose Escalation Cohort: Crizotinib 200 mg QD,Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally QD for up to 34 cycles (each cycle 28 days).,low dose escalation cohort crizotinib 200 mg qd,participants received crizotinib 200 mg 2 capsules tablet of 100 mg each capsule tablet orally qd for up to 34 cycles each cycle 28 days,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P3"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 200 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally QD for up to 34 cycles (each cycle 28 days)."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P4"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 200 mg BID"", ""arm_group_desc_raw"": ""Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally twice daily (BID) for up to 34 cycles (each cycle 28 days)."", ""title_score"": 97, ""desc_score"": 95}, {""arm_id"": ""NCT00585195_P7"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 300 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 91, ""desc_score"": 95}]"
NCT00585195,,NCT00585195_P4,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O4"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O4,Low Dose Escalation Cohort: Crizotinib 200 mg BID,Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally twice daily (BID) for up to 34 cycles (each cycle 28 days).,low dose escalation cohort crizotinib 200 mg bid,participants received crizotinib 200 mg 2 capsules tablet of 100 mg each capsule tablet orally twice daily bid for up to 34 cycles each cycle 28 days,NCT00585195_P4,Low Dose Escalation Cohort: Crizotinib 200 mg BID,Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally twice daily (BID) for up to 34 cycles (each cycle 28 days).,low dose escalation cohort crizotinib 200 mg bid,participants received crizotinib 200 mg 2 capsules tablet of 100 mg each capsule tablet orally twice daily bid for up to 34 cycles each cycle 28 days,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P4"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 200 mg BID"", ""arm_group_desc_raw"": ""Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally twice daily (BID) for up to 34 cycles (each cycle 28 days)."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P3"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 200 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally QD for up to 34 cycles (each cycle 28 days)."", ""title_score"": 97, ""desc_score"": 95}, {""arm_id"": ""NCT00585195_P7"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 300 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 88, ""desc_score"": 90}]"
NCT00585195,,NCT00585195_P5,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O5"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O5,Low Dose Escalation Cohort: Crizotinib 250 mg BID,Participants received Crizotinib 250 mg (2 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet BID for up to 34 cycles (each cycle 28 days).,low dose escalation cohort crizotinib 250 mg bid,participants received crizotinib 250 mg 2 capsules tablet of 100 mg each 1 capsule tablet of 50 mg capsule tablet bid for up to 34 cycles each cycle 28 days,NCT00585195_P5,Low Dose Escalation Cohort: Crizotinib 250 mg BID,Participants received Crizotinib 250 mg (2 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet BID for up to 34 cycles (each cycle 28 days).,low dose escalation cohort crizotinib 250 mg bid,participants received crizotinib 250 mg 2 capsules tablet of 100 mg each 1 capsule tablet of 50 mg capsule tablet bid for up to 34 cycles each cycle 28 days,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P5"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 250 mg BID"", ""arm_group_desc_raw"": ""Participants received Crizotinib 250 mg (2 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet BID for up to 34 cycles (each cycle 28 days)."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P10"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 650 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 650 mg (6 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet twice daily (BID) for up to 7 cycles (each cycle 28 days)."", ""title_score"": 88, ""desc_score"": 94}, {""arm_id"": ""NCT00585195_P4"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 200 mg BID"", ""arm_group_desc_raw"": ""Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally twice daily (BID) for up to 34 cycles (each cycle 28 days)."", ""title_score"": 98, ""desc_score"": 90}]"
NCT00585195,,NCT00585195_P6,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O6"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O6,Low Dose Escalation Cohort: Crizotinib 300 mg BID,"Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet orally BID for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 300 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7.",low dose escalation cohort crizotinib 300 mg bid,participants received crizotinib 300 mg 3 capsules tablet of 100 mg each capsule tablet orally bid for up to 34 cycles each cycle 28 days and 2 mg oral dose of midazolam along with crizotinib 300 mg on cycle 2 day 1 only participants who did not receive crizotinib on day 7 received single 2 mg oral dose of midazolam on day 7,NCT00585195_P6,Low Dose Escalation Cohort: Crizotinib 300 mg BID,"Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet orally BID for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 300 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7.",low dose escalation cohort crizotinib 300 mg bid,participants received crizotinib 300 mg 3 capsules tablet of 100 mg each capsule tablet orally bid for up to 34 cycles each cycle 28 days and 2 mg oral dose of midazolam along with crizotinib 300 mg on cycle 2 day 1 only participants who did not receive crizotinib on day 7 received single 2 mg oral dose of midazolam on day 7,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P6"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 300 mg BID"", ""arm_group_desc_raw"": ""Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet orally BID for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 300 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P2"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 100 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 100 mg capsule or tablet orally QD for up to 34 cycles (each cycle 28 days) and 2 mg oral dose of Midazolam along with Crizotinib 100 mg on Cycle 2 Day 1 only. Participants who did not receive Crizotinib on Day -7, received single 2 mg oral dose of Midazolam on Day -7."", ""title_score"": 95, ""desc_score"": 87}, {""arm_id"": ""NCT00585195_P3"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 200 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 200 mg (2 capsules/tablet of 100 mg each) capsule/tablet orally QD for up to 34 cycles (each cycle 28 days)."", ""title_score"": 95, ""desc_score"": 58}]"
NCT00585195,,NCT00585195_P7,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O7"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O7,High Dose Escalation Cohort: Crizotinib 300 mg QD,Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,high dose escalation cohort crizotinib 300 mg qd,participants received crizotinib 300 mg 3 capsules tablet of 100 mg each capsule tablet qd for up to 7 cycles each cycle 28 days,NCT00585195_P7,High Dose Escalation Cohort: Crizotinib 300 mg QD,Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,high dose escalation cohort crizotinib 300 mg qd,participants received crizotinib 300 mg 3 capsules tablet of 100 mg each capsule tablet qd for up to 7 cycles each cycle 28 days,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P7"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 300 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P8"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 400 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 400 mg (4 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 98, ""desc_score"": 98}, {""arm_id"": ""NCT00585195_P9"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 500 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 500 mg (5 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 98, ""desc_score"": 98}]"
NCT00585195,,NCT00585195_P8,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O8"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O8,High Dose Escalation Cohort: Crizotinib 400 mg QD,Participants received Crizotinib 400 mg (4 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,high dose escalation cohort crizotinib 400 mg qd,participants received crizotinib 400 mg 4 capsules tablet of 100 mg each capsule tablet qd for up to 7 cycles each cycle 28 days,NCT00585195_P8,High Dose Escalation Cohort: Crizotinib 400 mg QD,Participants received Crizotinib 400 mg (4 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,high dose escalation cohort crizotinib 400 mg qd,participants received crizotinib 400 mg 4 capsules tablet of 100 mg each capsule tablet qd for up to 7 cycles each cycle 28 days,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P8"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 400 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 400 mg (4 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P7"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 300 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 98, ""desc_score"": 98}, {""arm_id"": ""NCT00585195_P9"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 500 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 500 mg (5 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 98, ""desc_score"": 98}]"
NCT00585195,,NCT00585195_P9,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O9"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O9,High Dose Escalation Cohort: Crizotinib 500 mg QD,Participants received Crizotinib 500 mg (5 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,high dose escalation cohort crizotinib 500 mg qd,participants received crizotinib 500 mg 5 capsules tablet of 100 mg each capsule tablet qd for up to 7 cycles each cycle 28 days,NCT00585195_P9,High Dose Escalation Cohort: Crizotinib 500 mg QD,Participants received Crizotinib 500 mg (5 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days).,high dose escalation cohort crizotinib 500 mg qd,participants received crizotinib 500 mg 5 capsules tablet of 100 mg each capsule tablet qd for up to 7 cycles each cycle 28 days,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P9"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 500 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 500 mg (5 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P7"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 300 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 300 mg (3 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 98, ""desc_score"": 98}, {""arm_id"": ""NCT00585195_P8"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 400 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 400 mg (4 capsules/tablet of 100 mg each) capsule/tablet QD for up to 7 cycles (each cycle 28 days)."", ""title_score"": 98, ""desc_score"": 98}]"
NCT00585195,,NCT00585195_P10,Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib,Primary,,[],,,,,"[{""measure_title"": ""Dose-Escalation Cohort: Maximum Tolerated Dose (MTD) of Crizotinib"", ""units"": ""milligram"", ""param"": ""Number"", ""values"": [{""group_id"": ""O10"", ""value"": ""250""}]}]",milligram,[],,,[],,,,,,,,,,O10,High Dose Escalation Cohort: Crizotinib 650 mg QD,Participants received Crizotinib 650 mg (6 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet twice daily (BID) for up to 7 cycles (each cycle 28 days).,high dose escalation cohort crizotinib 650 mg qd,participants received crizotinib 650 mg 6 capsules tablet of 100 mg each 1 capsule tablet of 50 mg capsule tablet twice daily bid for up to 7 cycles each cycle 28 days,NCT00585195_P10,High Dose Escalation Cohort: Crizotinib 650 mg QD,Participants received Crizotinib 650 mg (6 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet twice daily (BID) for up to 7 cycles (each cycle 28 days).,high dose escalation cohort crizotinib 650 mg qd,participants received crizotinib 650 mg 6 capsules tablet of 100 mg each 1 capsule tablet of 50 mg capsule tablet twice daily bid for up to 7 cycles each cycle 28 days,precise_title,100,100,,"[{""arm_id"": ""NCT00585195_P10"", ""arm_group_title_raw"": ""High Dose Escalation Cohort: Crizotinib 650 mg QD"", ""arm_group_desc_raw"": ""Participants received Crizotinib 650 mg (6 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet twice daily (BID) for up to 7 cycles (each cycle 28 days)."", ""title_score"": 100, ""desc_score"": 100}, {""arm_id"": ""NCT00585195_P5"", ""arm_group_title_raw"": ""Low Dose Escalation Cohort: Crizotinib 250 mg BID"", ""arm_group_desc_raw"": ""Participants received Crizotinib 250 mg (2 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet BID for up to 34 cycles (each cycle 28 days)."", ""title_score"": 88, ""desc_score"": 94}, {""arm_id"": ""NCT00585195_P17"", ""arm_group_title_raw"": ""RP2D Cohort: ALK-Positive Cohort, NSCLC: Crizotinib 250 mg"", ""arm_group_desc_raw"": ""Participants received Crizotinib 250 mg (2 capsules/tablet of 100 mg each + 1 capsule/tablet of 50 mg) capsule/tablet twice daily (BID) with or without food for up to 133 cycles (each cycle 28 days)."", ""title_score"": 49, ""desc_score"": 92}]"
